index,date,us,uk,jp,euro,kor,ind,tw,br,gold,kor3y,kor10y,us3y,us10y
2095.0,2023-01-02,1834.699951171875,61167.7890625,106376.0,7528.5001220703125,10406.85546875,2225.669921875,25867.915625,3860.12255859375,14202.5126953125,3.783,3.813,4.224,3.879
2096.0,2023-01-03,1839.699951171875,61294.19921875,104166.0,7554.10009765625,10386.98046875,2218.679931640625,25792.3875,3882.2900390625,14224.1201171875,3.659,3.661,4.156,3.752
2097.0,2023-01-04,1852.800048828125,60657.44921875,105334.0,7585.2001953125,10458.759765625,2255.97998046875,25716.859375,3973.969970703125,14199.1298828125,3.632,3.598,4.11,3.69
2098.0,2023-01-05,1834.800048828125,60353.26953125,107518.0,7633.5,10305.240234375,2264.64990234375,25820.80078125,3959.47998046875,14301.0498046875,3.641,3.57,4.21,3.722
2099.0,2023-01-06,1864.199951171875,59900.37109375,108836.0,7699.5,10569.2900390625,2289.969970703125,25973.849609375,4017.830078125,14373.33984375,3.681,3.573,3.985,3.56
2100.0,2023-01-07,1867.0332845052083,60182.68359375,108966.33333333333,7707.966634114583,10591.41015625,2310.0432942708335,26024.27734375,4034.7600911458335,14499.6298828125,3.688,3.575,3.9726666666666666,3.549
2101.0,2023-01-08,1869.8666178385417,60464.99609375,109096.66666666667,7716.433268229167,10613.5302734375,2330.1166178385415,26074.705078125,4051.6901041666665,14625.919921875,3.688,3.575,3.960333333333333,3.5380000000000003
2102.0,2023-01-09,1872.699951171875,60747.30859375,109227.0,7724.89990234375,10635.650390625,2350.18994140625,26125.1328125,4068.6201171875,14752.2099609375,3.58,3.478,3.948,3.527
2103.0,2023-01-10,1871.5999755859375,60115.48046875,110912.0,7694.5,10742.6298828125,2351.31005859375,26175.560546875,4057.4599609375,14802.9599609375,3.556,3.462,3.982,3.615
2104.0,2023-01-11,1874.5999755859375,60105.5,111763.0,7725.0,10931.669921875,2359.530029296875,26446.0,4099.759765625,14751.4404296875,3.481,3.427,3.92,3.543
2105.0,2023-01-12,1895.5,59958.03125,111877.0,7794.0,11001.099609375,2365.10009765625,26449.8203125,4126.68017578125,14731.6396484375,3.466,3.413,3.811,3.444
2106.0,2023-01-13,1918.4000244140625,60261.1796875,110916.0,7844.10009765625,11079.16015625,2386.090087890625,26119.51953125,4150.7998046875,14824.1298828125,3.369,3.301,3.889,3.498
2107.0,2023-01-14,1915.6000061035156,60205.109375,110348.33333333333,7849.433430989583,11083.147705078125,2390.6800944010415,26020.453125,4152.866536458333,14858.423177083334,3.365,3.295,3.8936666666666655,3.5083333333333333
2108.0,2023-01-15,1912.7999877929688,60149.0390625,109780.66666666667,7854.766764322917,11087.13525390625,2395.2701009114585,25921.38671875,4154.933268229167,14892.716471354166,3.365,3.295,3.898333333333333,3.518666666666667
2109.0,2023-01-16,1909.9999694824219,60092.96875,109213.0,7860.10009765625,11091.122802734375,2399.860107421875,25822.3203125,4157.0,14927.009765625,3.455,3.385,3.903,3.529
2110.0,2023-01-17,1907.199951171875,60655.71875,111439.0,7851.0,11095.1103515625,2379.389892578125,26138.6796875,4174.330078125,14932.9296875,3.484,3.444,3.878,3.549
2111.0,2023-01-18,1904.4000244140625,61045.73828125,112452.0,7830.7001953125,10957.009765625,2368.320068359375,26791.119140625,4174.33984375,14976.075120192309,3.395,3.343,3.73,3.373
2112.0,2023-01-19,1922.0999755859375,60858.4296875,113006.0,7747.2998046875,10852.26953125,2380.340087890625,26405.23046875,4094.280029296875,15019.220552884615,3.24,3.213,3.772,3.399
2113.0,2023-01-20,1926.4000244140625,60621.76953125,112301.0,7770.60009765625,11140.4296875,2395.260009765625,26553.529296875,4119.89990234375,15062.365985576924,3.334,3.28,3.833,3.482
2114.0,2023-01-21,1926.6333414713542,60728.403645833336,112103.66666666667,7775.300130208333,11215.08984375,2401.922021484375,26671.032552083332,4130.20654296875,15105.51141826923,3.319,3.272,3.854333333333333,3.495
2115.0,2023-01-22,1926.8666585286458,60835.037760416664,111906.33333333333,7780.000162760417,11289.75,2408.584033203125,26788.535807291668,4140.51318359375,15148.656850961539,3.319,3.272,3.8756666666666666,3.508
2116.0,2023-01-23,1927.0999755859375,60941.671875,111709.0,7784.7001953125,11364.41015625,2415.246044921875,26906.0390625,4150.81982421875,15191.802283653846,3.319,3.272,3.897,3.521
2117.0,2023-01-24,1933.9000244140625,60978.75,113028.0,7757.39990234375,11334.26953125,2421.908056640625,27299.189453125,4153.02001953125,15234.947716346154,3.319,3.272,3.858,3.455
2118.0,2023-01-25,1941.199951171875,60205.05859375,114195.0,7744.89990234375,11313.3603515625,2428.570068359375,27395.009765625,4148.10986328125,15278.093149038461,3.285,3.23,3.841,3.451
2119.0,2023-01-26,1929.0999755859375,59767.978515625,114109.0,7761.10009765625,11512.41015625,2468.64990234375,27362.75,4173.97998046875,15321.23858173077,3.274,3.231,3.894,3.506
2120.0,2023-01-27,1928.5999755859375,59330.8984375,112502.0,7765.2001953125,11621.7099609375,2484.02001953125,27382.560546875,4178.009765625,15364.384014423076,3.304,3.283,3.897,3.507
2121.0,2023-01-28,1926.6999918619792,59387.40234375,112297.33333333333,7771.766764322917,11545.7431640625,2472.836669921875,27399.507161458332,4171.5498046875,15407.529447115385,3.31,3.287,3.915,3.518666666666667
